Hours,ng_ccs_WECC,nuclear_WECC,wind_WECC,solar_WECC,ng_ccs_ERCOT,nuclear_ERCOT,solar_ERCOT,wind_ERCOT
4631,1,1,0.52,0,1,1,0,0.9506
4632,1,1,0.397,0,1,1,0,0.953
4633,1,1,0.241,0,1,1,0,0.9512
4634,1,1,0.164,0,1,1,0,0.9418
4635,1,1,0.136,0,1,1,0,0.9188
4636,1,1,0.107,0,1,1,0,0.864
4637,1,1,0.091,0,1,1,0,0.7952
4638,1,1,0.076,0.023,1,1,0.001,0.6456
4639,1,1,0.09,0.19,1,1,0.0546,0.4888
4640,1,1,0.047,0.329333333,1,1,0.1698,0.512
4641,1,1,0.036,0.448333333,1,1,0.3048,0.4954
4642,1,1,0.05,0.505,1,1,0.4286,0.4554
4643,1,1,0.05,0.54,1,1,0.5292,0.407
4644,1,1,0.08,0.56,1,1,0.5936,0.3546
4645,1,1,0.084,0.569333333,1,1,0.6144,0.319
4646,1,1,0.097,0.53,1,1,0.5792,0.3012
4647,1,1,0.101,0.528666667,1,1,0.5112,0.293
4648,1,1,0.099,0.502,1,1,0.4108,0.3014
4649,1,1,0.085,0.437,1,1,0.2934,0.3238
4650,1,1,0.082,0.329666667,1,1,0.1604,0.3554
4651,1,1,0.143,0.174333333,1,1,0.05,0.4074
4652,1,1,0.309,0.066,1,1,0.001,0.5862
4653,1,1,0.848,0,1,1,0,0.782
4654,1,1,0.762,0,1,1,0,0.7976
4655,1,1,0.527,0,1,1,0,0.793
4656,1,1,0.526,0,1,1,0,0.812
4657,1,1,0.439,0,1,1,0,0.8322
4658,1,1,0.36,0,1,1,0,0.8478
4659,1,1,0.369,0,1,1,0,0.86
4660,1,1,0.294,0,1,1,0,0.8304
4661,1,1,0.238,0,1,1,0,0.7778
4662,1,1,0.244,0.023666667,1,1,0.001,0.729
4663,1,1,0.121,0.26,1,1,0.049,0.652
4664,1,1,0.026,0.412666667,1,1,0.16,0.7904
4665,1,1,0.019,0.526333333,1,1,0.2968,0.7692
4666,1,1,0.016,0.591,1,1,0.4154,0.5872
4667,1,1,0.057,0.616333333,1,1,0.5034,0.4314
4668,1,1,0.092,0.655333333,1,1,0.5556,0.3608
4669,1,1,0.099,0.661333333,1,1,0.5694,0.3206
4670,1,1,0.202,0.670333333,1,1,0.5494,0.297
4671,1,1,0.456,0.640333333,1,1,0.492,0.2886
4672,1,1,0.528,0.577,1,1,0.404,0.2932
4673,1,1,0.368,0.534666667,1,1,0.2942,0.3066
4674,1,1,0.463,0.411333333,1,1,0.164,0.3352
4675,1,1,0.588,0.241,1,1,0.049,0.4182
4676,1,1,0.609,0.074,1,1,0.001,0.6114
4677,1,1,0.701,0,1,1,0,0.7002
4678,1,1,0.609,0,1,1,0,0.68
4679,1,1,0.614,0,1,1,0,0.6308
4680,1,1,0.394,0,1,1,0,0.6144
4681,1,1,0.296,0,1,1,0,0.6718
4682,1,1,0.247,0,1,1,0,0.7278
4683,1,1,0.161,0,1,1,0,0.7168
4684,1,1,0.135,0,1,1,0,0.6486
4685,1,1,0.183,0,1,1,0,0.4984
4686,1,1,0.237,0.048666667,1,1,0.0008,0.3712
4687,1,1,0.319,0.275,1,1,0.0522,0.2752
4688,1,1,0.192,0.444333333,1,1,0.1626,0.386
4689,1,1,0.216,0.565,1,1,0.2972,0.4216
4690,1,1,0.077,0.621333333,1,1,0.4156,0.3922
4691,1,1,0.083,0.642,1,1,0.5022,0.344
4692,1,1,0.103,0.671333333,1,1,0.5542,0.297
4693,1,1,0.101,0.674,1,1,0.5632,0.272
4694,1,1,0.176,0.685,1,1,0.5368,0.2758
4695,1,1,0.32,0.657,1,1,0.472,0.2656
4696,1,1,0.483,0.628,1,1,0.38,0.2678
4697,1,1,0.609,0.588666667,1,1,0.2772,0.3068
4698,1,1,0.786,0.466333333,1,1,0.1528,0.404
4699,1,1,0.54,0.279333333,1,1,0.0454,0.594
4700,1,1,0.646,0.07,1,1,0.001,0.7512
4701,1,1,0.759,0,1,1,0,0.8012
4702,1,1,0.658,0,1,1,0,0.7554
4703,1,1,0.254,0,1,1,0,0.6608
4704,1,1,0.121,0,1,1,0,0.5308
4705,1,1,0.423,0,1,1,0,0.4042
4706,1,1,0.3,0,1,1,0,0.2884
4707,1,1,0.309,0,1,1,0,0.2322
4708,1,1,0.33,0,1,1,0,0.2008
4709,1,1,0.321,0.000333333,1,1,0,0.1678
4710,1,1,0.267,0.102333333,1,1,0.0006,0.1306
