Hour,WECC_Load_MWh,ERCOT_Load_MWh_2050
1032,157569,73664.9
1033,133576,79722.1
1034,129225,83125
1035,126725,85292.9
1036,127739,84513.9
1037,132210,85900.9
1038,146219,87208.1
1039,163391,87791.4
1040,174190,88838.3
1041,175411,91359.6
1042,173829,94373
1043,176889,97855.7
1044,181034,101064.8
1045,182644,100595.5
1046,183176,101499.9
1047,191641,99698.7
1048,207186,94718.8
1049,231613,88623.6
1050,243637,84683
1051,210120,80328.2
1052,177103,77740.4
1053,161760,76079.8
1054,143056,74447.7
1055,134606,73575.6
1056,137065,73957.5
1057,134699,80183.8
1058,130422,83417.6
1059,127384,85387.9
1060,128509,84363.8
1061,131231,85739.4
1062,139710,86866.1
1063,154111,87447.5
1064,165347,88414.6
1065,168871,90742.1
1066,167601,93652.9
1067,171439,97006.4
1068,176581,99710.1
1069,179305,99009
1070,180214,99455.5
1071,188129,97447.2
1072,205370,92575.6
1073,227834,86744.5
1074,240507,82881.8
1075,210429,78679
1076,179864,76410.4
1077,170597,74660.5
1078,158450,73074
1079,148053,71970.1
1080,140484,72336.8
1081,133965,77016.5
1082,131010,79104.6
1083,129329,79731.6
1084,131332,78734.1
1085,137235,79566.3
1086,154960,80347.2
1087,175229,80544.8
1088,185942,80734.8
1089,185741,81776
1090,182399,84084.5
1091,185377,87099.8
1092,189717,90331.7
1093,192310,89946
1094,194058,90419.1
1095,202727,89313.3
1096,221085,86811
1097,248048,83020.5
1098,267606,79283.2
1099,233138,75253.3
1100,198598,74453.4
1101,182214,72386.2
1102,159677,70885.2
1103,147021,70018.8
1104,143458,69467.8
1105,138544,70930.8
1106,134626,74189.3
1107,132490,77045
1108,134260,77318.6
1109,140706,77453.5
1110,158062,78065.3
1111,178020,78513.7
1112,188213,78869
1113,187212,80666.4
1114,183565,82739.3
1115,186170,84304.9
1116,190052,86130.8
1117,191762,86991.5
1118,193286,88769.9
1119,202026,89459.6
1120,218595,88467.8
1121,244724,86138.4
1122,261814,82695.6
1123,230484,78908.9
1124,198086,75070.9
1125,181839,73334.3
1126,158443,71858
1127,145392,71270.9
1128,143165,70896.6
1129,139466,75646.6
1130,135947,80339.6
1131,133953,85748.9
1132,135737,86168.8
1133,142504,86495.6
1134,160730,87325.9
1135,181586,87742
1136,192003,88372.8
1137,190689,90430.5
1138,186128,92560.4
1139,188880,94920.2
1140,192396,96121
1141,193707,96379.4
1142,194741,98378.2
1143,201522,98355.4
1144,216063,94933.5
1145,243814,90136
1146,262320,86493.7
1147,229420,82505.6
1148,196399,78437.7
1149,179366,76165.3
1150,159723,74183.6
1151,149511,73165.2
1152,150750,72317.8
1153,152760,76900.6
1154,144304,81411.2
1155,142551,86470.9
